city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,airports-3rddegree,airports-airblast1,airports-airblast5,airports-fireball,bases-3rddegree,bases-airblast1,bases-airblast5,bases-fireball,capitals-3rddegree,capitals-airblast1,capitals-airblast5,capitals-fireball,cities-3rddegree,cities-airblast1,cities-airblast5,cities-fireball,earthquakes10,earthquakes20,earthquakes50,earthquakes70,hurricanes-200-land,hurricanes-400-land,hurricanes-50-land,hurricanes-650-land,ports-3rddegree,ports-airblast1,ports-airblast5,ports-fireball,power-3rddegree,power-airblast1,power-airblast5,power-fireball,railyard-3rddegree,railyard-airblast1,railyard-airblast5,railyard-fireball,silo-3rddegree,silo-airblast1,silo-airblast5,silo-fireball,tornado10,tornado25,tornado40,tornado65,wildfires-1,wildfires-2,wildfires-3,wildfires-4
Renton,Renton,WA,Washington,"53033",King,"47.4758","-122.1905","101379","101379","1671",polygon,True,America/Los_Angeles,98059 98058 98057 98056 98055,"1840019827","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Mercer Island,Mercer Island,WA,Washington,"53033",King,"47.5625","-122.2265","25261","25261","1529",polygon,True,America/Los_Angeles,"98040","1840019830","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lynnwood,Lynnwood,WA,Washington,"53061",Snohomish,"47.8285","-122.3034","38273","38273","1886",polygon,True,America/Los_Angeles,98037 98036 98046,"1840019788","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Centralia,Centralia,WA,Washington,"53041",Lewis,"46.7226","-122.9695","41643.0","17216","884",polygon,True,America/Los_Angeles,"98531","1840018471","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Mountlake Terrace,Mountlake Terrace,WA,Washington,"53061",Snohomish,"47.7920","-122.3076","21337","21337","2021",polygon,True,America/Los_Angeles,"98043","1840019792","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Seattle,Seattle,WA,Washington,"53033",King,"47.6211","-122.3244","3643765.0","724745","3337",polygon,True,America/Los_Angeles,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,"1840021117","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Oak Harbor,Oak Harbor,WA,Washington,"53029",Island,"48.2965","-122.6330","34663.0","23187","934",polygon,True,America/Los_Angeles,"98277","1840019779","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Anacortes,Anacortes,WA,Washington,"53057",Skagit,"48.4878","-122.6292","17955.0","16953","559",polygon,True,America/Los_Angeles,"98221","1840018366","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Grandview,Grandview,WA,Washington,"53077",Yakima,"46.2431","-119.9084","18858.0","11129","670",polygon,True,America/Los_Angeles,98935 98930,"1840019871","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Kelso,Kelso,WA,Washington,"53015",Cowlitz,"46.1248","-122.8908","12130","12130","580",polygon,True,America/Los_Angeles,98626 98632,"1840018503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Cheney,Cheney,WA,Washington,"53063",Spokane,"47.4902","-117.5789","12421.0","12446","1106",polygon,True,America/Los_Angeles,"99004","1840018398","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Lacey,Lacey,WA,Washington,"53067",Thurston,"47.0450","-122.7931","49748","49748","1168",polygon,True,America/Los_Angeles,98516 98503 98509,"1840019866","1","1","0","0","1","1","1","0","1","1","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Edmonds,Edmonds,WA,Washington,"53061",Snohomish,"47.8114","-122.3533","42209","42209","1829",polygon,True,America/Los_Angeles,98026 98020,"1840037645","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lake Forest Park,Lake Forest Park,WA,Washington,"53033",King,"47.7596","-122.2879","13392","13392","1469",polygon,True,America/Los_Angeles,"98155","1840019837","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Yakima,Yakima,WA,Washington,"53077",Yakima,"46.5923","-120.5496","133233.0","93667","1302",polygon,True,America/Los_Angeles,98901 98903 98902 98908 98904 98907,"1840021154","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lynden,Lynden,WA,Washington,"53073",Whatcom,"48.9503","-122.4544","17340.0","14259","1019",polygon,True,America/Los_Angeles,"98264","1840019752","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Federal Way,Federal Way,WA,Washington,"53033",King,"47.3090","-122.3359","96690","96690","1680",polygon,True,America/Los_Angeles,98023 98003 98063 98093,"1840019826","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Mill Creek,Mill Creek,WA,Washington,"53061",Snohomish,"47.8633","-122.2034","20832","20832","1747",polygon,True,America/Los_Angeles,98012 98082,"1840019790","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lakewood,Lakewood,WA,Washington,"53053",Pierce,"47.1628","-122.5299","60296","60296","1361",polygon,True,America/Los_Angeles,98499 98498 98496 98497,"1840019860","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Port Angeles,Port Angeles,WA,Washington,"53009",Clallam,"48.1142","-123.4565","23865.0","19872","716",polygon,True,America/Los_Angeles,98363 98362,"1840019782","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Longview,Longview,WA,Washington,"53015",Cowlitz,"46.1460","-122.9630","65619.0","37602","976",polygon,True,America/Los_Angeles,"98632","1840019904","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Arlington,Arlington,WA,Washington,"53061",Snohomish,"48.1697","-122.1446","19212","19212","756",polygon,True,America/Los_Angeles,"98223","1840018378","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Sammamish,Sammamish,WA,Washington,"53033",King,"47.6019","-122.0419","64548","64548","1219",polygon,True,America/Los_Angeles,98029 98075 98074,"1840021115","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Covington,Covington,WA,Washington,"53033",King,"47.3668","-122.1044","20916","20916","1363",polygon,True,America/Los_Angeles,"98042","1840018425","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Wenatchee,Wenatchee,WA,Washington,"53007",Chelan,"47.4338","-120.3285","71512.0","33962","1325",polygon,True,America/Los_Angeles,"98801","1840021074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Sedro-Woolley,Sedro-Woolley,WA,Washington,"53057",Skagit,"48.5113","-122.2320","11838","11838","1057",polygon,True,America/Los_Angeles,"98284","1840021066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Sunnyside,Sunnyside,WA,Washington,"53077",Yakima,"46.3159","-120.0058","17927.0","16407","842",polygon,True,America/Los_Angeles,"98944","1840021150","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
SeaTac,SeaTac,WA,Washington,"53033",King,"47.4445","-122.2986","29140","29140","1126",polygon,True,America/Los_Angeles,98158 98148 98198 98168 98188 98131,"1840021116","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Kennewick,Kennewick,WA,Washington,"53005",Benton,"46.1979","-119.1732","232915.0","81607","1147",polygon,True,America/Los_Angeles,99337 99336 99338,"1840018481","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Pullman,Pullman,WA,Washington,"53075",Whitman,"46.7342","-117.1661","33276.0","33354","1229",polygon,True,America/Los_Angeles,99164 99163,"1840019864","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
West Richland,West Richland,WA,Washington,"53005",Benton,"46.3115","-119.3997","14596","14596","254",polygon,True,America/Los_Angeles,99320 99353,"1840021168","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Maple Valley,Maple Valley,WA,Washington,"53033",King,"47.3660","-122.0369","25758","25758","1663",polygon,True,America/Los_Angeles,"98038","1840019828","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Auburn,Auburn,WA,Washington,"53033",King,"47.3041","-122.2110","80776","80776","1057",polygon,True,America/Los_Angeles,98001 98002 98092,"1840018416","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bainbridge Island,Bainbridge Island,WA,Washington,"53035",Kitsap,"47.6439","-122.5434","24522","24522","342",polygon,True,America/Los_Angeles,98110 98061,"1840018409","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Edgewood,Edgewood,WA,Washington,"53053",Pierce,"47.2309","-122.2832","11213","11213","515",polygon,True,America/Los_Angeles,98372 98371,"1840019852","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Othello,Othello,WA,Washington,"53001",Adams,"46.8222","-119.1651","12375.0","8132","790",polygon,True,America/Los_Angeles,"99344","1840019862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
University Place,University Place,WA,Washington,"53053",Pierce,"47.2148","-122.5460","33401","33401","1547",polygon,True,America/Los_Angeles,98466 98467 98464,"1840021130","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Poulsbo,Poulsbo,WA,Washington,"53035",Kitsap,"47.7417","-122.6407","10670","10670","869",polygon,True,America/Los_Angeles,"98370","1840019822","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Kent,Kent,WA,Washington,"53033",King,"47.3887","-122.2128","128458","128458","1470",polygon,True,America/Los_Angeles,98031 98030 98032 98042 98035 98064 98089,"1840018424","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Mukilteo,Mukilteo,WA,Washington,"53061",Snohomish,"47.9094","-122.3035","21469","21469","1323",polygon,True,America/Los_Angeles,"98275","1840019793","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Kirkland,Kirkland,WA,Washington,"53033",King,"47.6997","-122.2041","88630","88630","1921",polygon,True,America/Los_Angeles,98034 98033 98011 98083,"1840019836","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Redmond,Redmond,WA,Washington,"53033",King,"47.6762","-122.1166","64291","64291","1506",polygon,True,America/Los_Angeles,98052 98073,"1840019835","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Tukwila,Tukwila,WA,Washington,"53033",King,"47.4748","-122.2727","20144","20144","847",polygon,True,America/Los_Angeles,98108 98178 98168 98188 98138 98190,"1840021120","1","1","1","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Yelm,Yelm,WA,Washington,"53067",Thurston,"46.9398","-122.6261","16504.0","9125","618",polygon,True,America/Los_Angeles,98576 98597,"1840021146","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Olympia,Olympia,WA,Washington,"53067",Thurston,"47.0418","-122.8959","196078.0","51609","1094",polygon,True,America/Los_Angeles,98501 98502 98506 98504 98507 98508 98511,"1840019865","1","1","1","0","1","1","0","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Fife,Fife,WA,Washington,"53053",Pierce,"47.2328","-122.3517","10154","10154","684",polygon,True,America/Los_Angeles,"98424","1840019853","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Port Orchard,Port Orchard,WA,Washington,"53035",Kitsap,"47.5160","-122.6615","13997","13997","559",polygon,True,America/Los_Angeles,98366 98367,"1840019821","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bremerton,Bremerton,WA,Washington,"53035",Kitsap,"47.5436","-122.7122","216480.0","41041","557",polygon,True,America/Los_Angeles,98312 98314 98310 98367 98337,"1840018410","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Lake Stevens,Lake Stevens,WA,Washington,"53061",Snohomish,"48.0029","-122.0960","32785","32785","1424",polygon,True,America/Los_Angeles,98258 98205,"1840019794","0","1","0","0","1","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Tacoma,Tacoma,WA,Washington,"53053",Pierce,"47.2431","-122.4531","213418","213418","1657",polygon,True,America/Los_Angeles,98422 98403 98404 98405 98408 98409 98402 98406 98407 98465 98416 98418 98444 98421 98401 98411 98412 98413 98415 98417 98419 98471 98481 98490,"1840021129","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Woodinville,Woodinville,WA,Washington,"53033",King,"47.7569","-122.1478","11997","11997","824",polygon,True,America/Los_Angeles,"98072","1840021121","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Sequim,Sequim,WA,Washington,"53009",Clallam,"48.0747","-123.0944","20750.0","7108","432",polygon,True,America/Los_Angeles,"98382","1840021076","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Moses Lake,Moses Lake,WA,Washington,"53025",Grant,"47.1285","-119.2741","37774.0","23328","499",polygon,True,America/Los_Angeles,"98837","1840019817","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Puyallup,Puyallup,WA,Washington,"53053",Pierce,"47.1794","-122.2902","41001","41001","1119",polygon,True,America/Los_Angeles,98374 98372 98371 98373 98352,"1840019859","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Sumner,Sumner,WA,Washington,"53053",Pierce,"47.2189","-122.2338","10093","10093","517",polygon,True,America/Los_Angeles,"98390","1840021128","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Walla Walla,Walla Walla,WA,Washington,"53071",Walla Walla,"46.0670","-118.3365","57779.0","32854","939",polygon,True,America/Los_Angeles,"99362","1840021174","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Bothell,Bothell,WA,Washington,"53033",King,"47.7736","-122.2044","45533","45533","1287",polygon,True,America/Los_Angeles,98021 98011 98041,"1840018419","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Tumwater,Tumwater,WA,Washington,"53067",Thurston,"46.9890","-122.9172","22973","22973","509",polygon,True,America/Los_Angeles,98501 98512,"1840021145","1","1","1","0","1","1","0","0","1","1","1","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Monroe,Monroe,WA,Washington,"53061",Snohomish,"47.8596","-121.9853","18789","18789","1183",polygon,True,America/Los_Angeles,"98272","1840019791","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Des Moines,Des Moines,WA,Washington,"53033",King,"47.3914","-122.3154","31238","31238","1875",polygon,True,America/Los_Angeles,98148 98198,"1840018426","1","1","0","0","0","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Snohomish,Snohomish,WA,Washington,"53061",Snohomish,"47.9277","-122.0970","10089","10089","1117",polygon,True,America/Los_Angeles,98290 98291,"1840021078","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Richland,Richland,WA,Washington,"53005",Benton,"46.2826","-119.2938","56243","56243","556",polygon,True,America/Los_Angeles,99352 99354,"1840019889","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Washougal,Washougal,WA,Washington,"53011",Clark,"45.5812","-122.3433","15711","15711","1109",polygon,True,America/Los_Angeles,"98671","1840021190","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bonney Lake,Bonney Lake,WA,Washington,"53053",Pierce,"47.1788","-122.1699","20675","20675","1003",polygon,True,America/Los_Angeles,"98391","1840018454","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Spokane Valley,Spokane Valley,WA,Washington,"53063",Spokane,"47.6625","-117.2346","97847","97847","1001",polygon,True,America/Los_Angeles,99206 99016 99212 99216 99037 99211 99213 99215,"1840021094","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bellevue,Bellevue,WA,Washington,"53033",King,"47.5953","-122.1551","144444","144444","1666",polygon,True,America/Los_Angeles,98004 98005 98006 98007 98008 98009 98015,"1840018417","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Marysville,Marysville,WA,Washington,"53061",Snohomish,"48.0809","-122.1558","166541.0","68864","1290",polygon,True,America/Los_Angeles,98271 98270,"1840019789","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Newcastle,Newcastle,WA,Washington,"53033",King,"47.5303","-122.1633","11681","11681","1014",polygon,True,America/Los_Angeles,98059 98056,"1840019831","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Snoqualmie,Snoqualmie,WA,Washington,"53033",King,"47.5293","-121.8412","26054.0","13500","725",polygon,True,America/Los_Angeles,"98065","1840021119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Enumclaw,Enumclaw,WA,Washington,"53033",King,"47.2017","-121.9897","11784","11784","878",polygon,True,America/Los_Angeles,"98022","1840019825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Shelton,Shelton,WA,Washington,"53045",Mason,"47.2188","-123.1127","19296.0","10146","675",polygon,True,America/Los_Angeles,"98584","1840021123","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Bellingham,Bellingham,WA,Washington,"53073",Whatcom,"48.7543","-122.4687","126015.0","89045","1241",polygon,True,America/Los_Angeles,98229 98225 98226 98228,"1840018346","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
Kenmore,Kenmore,WA,Washington,"53033",King,"47.7532","-122.2459","22867","22867","1436",polygon,True,America/Los_Angeles,"98028","1840018423","0","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Ellensburg,Ellensburg,WA,Washington,"53037",Kittitas,"46.9994","-120.5470","23471.0","20326","1022",polygon,True,America/Los_Angeles,"98926","1840019841","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
East Wenatchee,East Wenatchee,WA,Washington,"53017",Douglas,"47.4172","-120.2809","13983","13983","1425",polygon,True,America/Los_Angeles,"98802","1840019795","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
Spokane,Spokane,WA,Washington,"53063",Spokane,"47.6671","-117.4330","403043.0","217108","1218",polygon,True,America/Los_Angeles,99201 99203 99202 99205 99204 99207 99208 99224 99223 99001 99212 99209 99210 99219 99220 99252 99256 99258 99260,"1840021093","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
