city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,airports-3rddegree,airports-airblast1,airports-airblast5,airports-fireball,bases-3rddegree,bases-airblast1,bases-airblast5,bases-fireball,capitals-3rddegree,capitals-airblast1,capitals-airblast5,capitals-fireball,cities-3rddegree,cities-airblast1,cities-airblast5,cities-fireball,earthquakes10,earthquakes20,earthquakes50,earthquakes70,hurricanes-200-land,hurricanes-400-land,hurricanes-50-land,hurricanes-650-land,ports-3rddegree,ports-airblast1,ports-airblast5,ports-fireball,power-3rddegree,power-airblast1,power-airblast5,power-fireball,railyard-3rddegree,railyard-airblast1,railyard-airblast5,railyard-fireball,silo-3rddegree,silo-airblast1,silo-airblast5,silo-fireball,tornado10,tornado25,tornado40,tornado65,wildfires-1,wildfires-2,wildfires-3,wildfires-4
Ridgeland,Ridgeland,MS,Mississippi,"28089",Madison,"32.4236","-90.1481","24266","24266","438",polygon,True,America/Chicago,39157 39158,"1840014873","1","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
McComb,McComb,MS,Mississippi,"28113",Pike,"31.2449","-90.4714","16398.0","12799","426",polygon,True,America/Chicago,39648 39649,"1840015877","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0"
Long Beach,Long Beach,MS,Mississippi,"28047",Harrison,"30.3608","-89.1650","15642","15642","588",polygon,True,America/Chicago,"39560","1840015914","1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","1"
Brandon,Brandon,MS,Mississippi,"28121",Rankin,"32.2778","-89.9896","23999","23999","361",polygon,True,America/Chicago,39042 39043,"1840013825","0","1","0","0","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
Meridian,Meridian,MS,Mississippi,"28075",Lauderdale,"32.3846","-88.6897","38294.0","37940","272",polygon,True,America/Chicago,39307 39305 39301 39302 39303 39304,"1840014891","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","1","0","0","0","0"
Columbus,Columbus,MS,Mississippi,"28087",Lowndes,"33.5088","-88.4097","31701.0","24041","370",polygon,True,America/Chicago,39702 39701 39705,"1840014807","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0"
Madison,Madison,MS,Mississippi,"28089",Madison,"32.4738","-90.1300","25627","25627","392",polygon,True,America/Chicago,39110 39130,"1840015782","1","1","0","0","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
Greenville,Greenville,MS,Mississippi,"28151",Washington,"33.3850","-91.0514","31243.0","30686","440",polygon,True,America/Chicago,38701 38703,"1840013759","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
Picayune,Picayune,MS,Mississippi,"28109",Pearl River,"30.5289","-89.6788","16026.0","10382","309",polygon,True,America/Chicago,39466 39463,"1840015002","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
D'Iberville,D'Iberville,MS,Mississippi,"28047",Harrison,"30.4545","-88.8982","11610","11610","633",polygon,True,America/Chicago,39532 39540,"1840015023","1","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
Gautier,Gautier,MS,Mississippi,"28059",Jackson,"30.4106","-88.6568","18512","18512","236",polygon,True,America/Chicago,39553 39564,"1840013937","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","1","1","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1"
Grenada,Grenada,MS,Mississippi,"28043",Grenada,"33.7816","-89.8130","10016.0","12511","160",polygon,True,America/Chicago,38901 38902 38926 38960,"1840013717","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0"
Hernando,Hernando,MS,Mississippi,"28033",DeSoto,"34.8496","-89.9920","15981","15981","239",polygon,True,America/Chicago,38632 38651,"1840014642","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
